week_ending,BD25 Event,Bradford 2025 Turner Prize,Education/Session,Evaluation,Induction,Third Party Event
2024-08-18,0,0,0,0,0,10
2024-08-25,41,0,0,0,0,7
2024-09-01,1,0,0,0,0,0
2024-09-08,2,0,0,17,0,5
2024-09-15,75,0,0,0,0,6
2024-09-22,0,0,0,13,0,5
2024-09-29,0,0,0,0,0,0
2024-10-06,0,0,0,0,0,0
2024-10-13,0,0,0,0,0,0
2024-10-20,0,0,0,29,0,0
2024-10-27,0,0,0,17,0,9
2024-11-03,0,0,0,0,33,0
2024-11-10,0,0,0,11,121,0
2024-11-17,0,0,6,10,105,0
2024-11-24,13,0,6,15,0,0
2024-12-01,17,0,0,0,82,0
2024-12-08,15,0,8,12,28,0
2024-12-15,17,0,9,0,82,0
2024-12-22,13,0,0,0,0,0
2024-12-29,0,0,0,0,0,0
2025-01-05,0,0,0,0,0,0
2025-01-12,250,0,0,0,0,0
2025-01-19,33,0,4,6,0,0
2025-01-26,54,0,4,0,70,0
2025-02-02,77,0,0,0,118,0
2025-02-09,85,0,0,0,0,0
2025-02-16,213,0,0,0,0,0
2025-02-23,115,0,0,20,30,0
2025-03-02,98,0,0,0,29,0
2025-03-09,79,0,0,0,0,0
2025-03-16,105,0,0,0,16,0
2025-03-23,76,0,0,30,0,0
2025-03-30,82,0,11,0,24,0
2025-04-06,143,0,10,0,31,0
2025-04-13,176,0,0,0,0,3
2025-04-20,150,0,0,11,25,0
2025-04-27,186,0,0,0,0,0
2025-05-04,153,0,0,0,17,0
2025-05-11,168,0,0,0,0,0
2025-05-18,194,0,25,13,21,0
2025-05-25,216,0,0,0,20,8
2025-06-01,171,0,0,0,33,0
2025-06-08,207,0,0,0,0,0
2025-06-15,258,0,0,0,13,8
2025-06-22,182,0,0,10,22,0
2025-06-29,84,0,0,0,11,5
2025-07-06,105,0,0,0,7,0
2025-07-13,134,0,11,0,22,0
2025-07-20,174,0,11,1,11,9
2025-07-27,304,0,0,0,0,0
2025-08-03,223,0,0,0,18,0
2025-08-10,218,0,0,0,13,0
2025-08-17,199,0,0,0,20,0
2025-08-24,173,0,0,0,0,0
2025-08-31,219,0,0,0,14,0
2025-09-07,250,0,0,0,17,0
2025-09-14,147,0,0,0,10,0
2025-09-21,201,0,0,15,11,0
2025-09-28,198,132,0,0,11,0
2025-10-05,105,89,0,0,7,0
2025-10-12,198,87,0,0,18,2
2025-10-19,117,62,0,0,6,11
2025-10-26,112,61,3,0,13,1
2025-11-02,168,67,0,0,0,0
2025-11-09,160,60,0,0,4,0
