event_id,spektrix_instance_id,project_name,event_name,start_datetime
recN1eTzNDGDkBYTq,,Our Patch - Marie Curie Residents Project,,2025-04-02 23:00:00+00:00
recaQrRsOHEo8HBtL,,Our Patch - Marie Curie Residents Project,,2025-04-10 23:00:00+00:00
recDPJSkUjuwZ4mne,,Our Patch - Marie Curie Residents Project,,2025-05-03 23:00:00+00:00
recPInVXhMEmmQ9OT,,Our Patch - Marie Curie Residents Project,,2025-05-20 23:00:00+00:00
recTsP3WzWK9ByQdH,,Our Patch - Marie Curie Residents Project,,2025-05-27 23:00:00+00:00
reclrGwed3QMruJ03,,Our Patch - Marie Curie Residents Project,,2025-06-03 23:00:00+00:00
recZLy3h8kM7gIgwQ,,Our Patch - Marie Curie Residents Project,,2025-06-10 23:00:00+00:00
recdT5Fh4ZLKGB7ZL,,Our Patch - Marie Curie Residents Project,,2025-06-17 23:00:00+00:00
recZP5tjORgPsBRbc,,Our Patch - Marie Curie Residents Project,,2025-06-24 23:00:00+00:00
recqqNHIHm1hVQkyJ,,Our Patch - Marie Curie Residents Project,,2025-07-02 12:00:00+00:00
recpGVNuPGYaRqDpf,,Our Patch - Marie Curie Residents Project,,2025-07-23 12:00:00+00:00
recfJHDcwbrbpRhfO,,Our Patch - Marie Curie Residents Project,,2025-07-30 12:00:00+00:00
recZxp2McUFWQl5DS,,Our Patch - Marie Curie Residents Project,,2025-08-06 12:00:00+00:00
recFUGT3XCc3WHsOi,,Our Patch - Marie Curie Residents Project,,2025-08-13 12:00:00+00:00
recKNvbJv2h8jXNMn,,Our Patch - Marie Curie Residents Project,,2025-08-20 12:00:00+00:00
recIIx3gU4IEXUkpQ,,Our Patch - Marie Curie Residents Project,,2025-08-27 14:00:00+00:00
rec99i8nIsLFKJMfe,,Our Patch - Marie Curie Residents Project,,2025-09-10 12:00:00+00:00
reccayTtBT54GoPHn,,Our Patch - Marie Curie Residents Project,,2025-09-17 12:00:00+00:00
recpiYBJmB3Vu9zjb,,Our Patch - Marie Curie Residents Project,,2025-09-24 12:00:00+00:00
reczsb8gwZqiQqLBU,,Our Patch - Marie Curie Residents Project,,2025-10-01 12:00:00+00:00
recpJ7xWHI03Yg8ZQ,,Tour the Writer,,2024-06-20 18:00:00+00:00
recGi7pRW6bFehAOe,,Tour the Writer,,2024-08-15 10:08:00+00:00
recLg2U86oU0b1OBU,,Tour the Writer,,2024-10-19 10:23:00+00:00
recaJGg4YRoEgK3gz,,Tour the Writer,,2024-11-21 11:24:00+00:00
rechIam3RZECe4ePc,,Tour the Writer,,2025-01-16 09:12:00+00:00
rececTgOrmWdlAXn2,,Tour the Writer,,2025-02-15 09:14:00+00:00
recheD2Sdsgxm5qAa,,Tour the Writer,,2025-03-20 09:15:00+00:00
recWbct0A4O2gkHwJ,,Wandering Imaginations: Emerging Fantasy Writer Exchange,,
recP8K9mPTrGx3vrw,,Wandering Imaginations: Emerging Fantasy Writer Exchange,,2024-09-27 13:47:00+00:00
recEIuwhHJNGjlHXA,,Wandering Imaginations: Emerging Fantasy Writer Exchange,,2024-10-18 13:49:00+00:00
rec3I6upaJf2CPGFS,,Our Patch - Bingley 25 Festival,,2025-05-02 23:00:00+00:00
rec6qC4OOjGEJ0Pgf,,Our Patch - Bingley 25 Festival,,2025-05-03 23:00:00+00:00
rect76BRZvmkS58JO,,Our Patch - Bingley 25 Festival,,2025-05-04 23:00:00+00:00
recVF7EruWahwtLoc,,Our Patch - Bingley 25 Festival,,2025-05-30 23:00:00+00:00
recoQ8NVjHnF98JHC,,Our Patch - Boxing for wellbeing Kirkgate Centre,,2025-06-21 23:00:00+00:00
recpFMZaJmqoQ7Qkt,,Our Patch - Boxing for wellbeing Kirkgate Centre,,2025-06-22 17:30:00+00:00
recN2rtcyE3VvgObS,,Our Patch - Boxing for wellbeing Kirkgate Centre,,2025-06-28 23:00:00+00:00
recOg0Fx5cz8rYm23,,Our Patch - Boxing for wellbeing Kirkgate Centre,,2025-06-29 17:30:00+00:00
reca9gjfXXcMBxz7Z,,Our Patch - Boxing for wellbeing Kirkgate Centre,,2025-07-06 17:30:00+00:00
recgUwlG9N3lEYnK9,,Our Patch - Boxing for wellbeing Kirkgate Centre,,2025-07-13 17:30:00+00:00
recKIvip6ZWE892XV,,Our Patch - Boxing for wellbeing Kirkgate Centre,,2025-07-20 17:30:00+00:00
recGqCX3jpDQau9kk,,Our Patch - Boxing for wellbeing Kirkgate Centre,,2025-07-27 17:30:00+00:00
