Date,variable,value
2024-11-25,Email Subscribers,9837
2024-11-25,Facebook Followers,9731
2024-11-25,Instagram Followers,9926
2024-11-25,LinkedIn Followers,8667
2024-11-25,Threads Followers,1395
2024-11-25,TikTok Followers,2124
2024-11-25,Total Audience,54766
2024-11-25,WhatsApp subscribers,284
2024-11-25,X Followers,12594
2024-11-25,YouTube Subscribers,208
2024-12-02,Email Subscribers,10052
2024-12-02,Facebook Followers,9685
2024-12-02,Instagram Followers,9730
2024-12-02,LinkedIn Followers,8610
2024-12-02,Threads Followers,1401
2024-12-02,TikTok Followers,2434
2024-12-02,Total Audience,54998
2024-12-02,WhatsApp subscribers,284
2024-12-02,X Followers,12594
2024-12-02,YouTube Subscribers,208
2024-12-09,Email Subscribers,10335
2024-12-09,Facebook Followers,9837
2024-12-09,Instagram Followers,10116
2024-12-09,LinkedIn Followers,8800
2024-12-09,Threads Followers,1419
2024-12-09,TikTok Followers,2924
2024-12-09,Total Audience,56537
2024-12-09,WhatsApp subscribers,285
2024-12-09,X Followers,12611
2024-12-09,YouTube Subscribers,210
2024-12-16,Email Subscribers,10846
2024-12-16,Facebook Followers,9990
2024-12-16,Instagram Followers,10217
2024-12-16,LinkedIn Followers,8865
2024-12-16,Threads Followers,1425
2024-12-16,TikTok Followers,2946
2024-12-16,Total Audience,57404
2024-12-16,WhatsApp subscribers,288
2024-12-16,X Followers,12616
2024-12-16,YouTube Subscribers,211
2024-12-23,Email Subscribers,11382
2024-12-23,Facebook Followers,10212
2024-12-23,Instagram Followers,10326
2024-12-23,LinkedIn Followers,8923
2024-12-23,Threads Followers,1437
2024-12-23,TikTok Followers,2986
2024-12-23,Total Audience,58389
2024-12-23,WhatsApp subscribers,295
2024-12-23,X Followers,12615
2024-12-23,YouTube Subscribers,213
2024-12-30,Email Subscribers,11987
2024-12-30,Facebook Followers,10350
2024-12-30,Instagram Followers,10414
2024-12-30,LinkedIn Followers,8950
2024-12-30,Threads Followers,1460
2024-12-30,TikTok Followers,3511
2024-12-30,Total Audience,59805
2024-12-30,WhatsApp subscribers,297
2024-12-30,X Followers,12622
2024-12-30,YouTube Subscribers,214
2025-01-06,Email Subscribers,13484
2025-01-06,Facebook Followers,10737
2025-01-06,Instagram Followers,10738
2025-01-06,LinkedIn Followers,9120
2025-01-06,Threads Followers,1503
2025-01-06,TikTok Followers,3853
2025-01-06,Total Audience,62613
2025-01-06,WhatsApp subscribers,316
2025-01-06,X Followers,12600
2025-01-06,YouTube Subscribers,262
2025-01-13,Email Subscribers,16271
2025-01-13,Facebook Followers,12119
2025-01-13,Instagram Followers,11801
2025-01-13,LinkedIn Followers,9414
2025-01-13,Threads Followers,1599
2025-01-13,TikTok Followers,4643
