Channel,Post URL,Impressions/views,Engagements,Engagement rate (%)
Instagram,https://www.instagram.com/reel/C4tGYT-MlTG/,2176163,24331,1.10
Instagram,https://www.instagram.com/reel/C_08QzTO7Q7/,1702501,11881,0.70
TikTok,https://www.tiktok.com/@bradford2025/video/7528851511493872918,658604,31801,5.60
Facebook,https://www.facebook.com/251116247206592/posts/930263715958505,498903,14012,2.80
Facebook,https://www.facebook.com/251116247206592/videos/1563863630958480,399739,20098,5
Instagram,https://www.instagram.com/p/DO8WEypDNzm/,342998,2409,0.70
Facebook,https://www.facebook.com/251116247206592/posts/1144549031196638,315813,12907,4.10
TikTok,https://www.tiktok.com/@bradfordcultureco/video/7583450309385637152,302894,36397,12
Facebook,https://www.facebook.com/251116247206592/posts/958252956492914,296916,17797,6
X,https://twitter.com/bradford2025/status/1865075672219034027,267425,4459,1.70
TikTok,https://www.tiktok.com/@bradfordcultureco/video/7578255081045380384,222138,17074,7.70
Facebook,https://www.facebook.com/251116247206592/posts/975165588134984,185544,18810,10.10
Instagram,https://www.instagram.com/p/DLKDNQCNhrm/,185416,2341,1.30
Facebook,https://www.facebook.com/251116247206592/posts/947170977601112,183683,6835,3.70
Facebook,https://www.facebook.com/251116247206592/posts/923105240007686,182823,5328,2.90
Facebook,https://www.facebook.com/reel/988212700163682/,172701,1247,0.70
Facebook,https://www.facebook.com/251116247206592/posts/1106820701636138,172251,8877,5.20
X,https://twitter.com/bradford2025/status/1874425953125793932,165771,2832,1.70
Facebook,https://www.facebook.com/251116247206592/posts/992228163095393,164136,28114,17.10
TikTok,https://www.tiktok.com/@bradford2025/video/7488312448433360150,126864,8341,6.60
Instagram,https://www.instagram.com/p/DPeUflck08t/,125029,969,0.80
TikTok,https://www.tiktok.com/@bradford2025/video/7472455919503183126,120987,6185,5.10
TikTok,https://www.tiktok.com/@bradfordcultureco/video/7554717710635011330,111131,5902,5.30
Instagram,https://www.instagram.com/p/DKPFeAsTdgt/,105658,5697,5.40
TikTok,https://www.tiktok.com/@bradfordcultureco/video/7580852700972174624,103451,6176,6
TikTok,https://www.tiktok.com/@bradford2025/video/7489395872845860118,97885,5969,6.10
TikTok,https://www.tiktok.com/@bradford2025/video/7458271809834650913,96364,3698,3.80
TikTok,https://www.tiktok.com/@bradford2025/video/7452318172532788512,94255,7715,8.20
Instagram,https://www.instagram.com/reel/DPGZF8mEo54/,86600,3311,3.80
X,https://twitter.com/bradford2025/status/1834298565755130260,85754,2183,2.50
Instagram,https://www.instagram.com/reel/DSNF4eLE-Kj/,79884,5427,6.80
Instagram,https://www.instagram.com/reel/DRpCpp9ipAj/,65284,2123,3.30
Instagram,https://www.instagram.com/p/DLVGlagOOAe/,48936,195,0.40
X,https://twitter.com/bradford2025/status/1815725688814514242,44514,2092,4.70
X,https://twitter.com/bradford2025/status/1874931007142461871,22271,568,2.60
LinkedIn,https://linkedin.com/feed/update/urn:li:ugcPost:7175912599635546113,21694,1802,8.30
LinkedIn,https://linkedin.com/feed/update/urn:li:share:7176569636845424641,19034,1483,7.80
X,https://twitter.com/bradford2025/status/1874244305402921257,17640,541,3.10
X,https://twitter.com/bradford2025/status/1834273769700921364,16683,801,4.80
X,https://twitter.com/bradford2025/status/1757082185222238599,15800,440,2.80
X,https://twitter.com/bradford2025/status/1878120817575317870,15242,854,5.60
X,https://twitter.com/bradford2025/status/1749394547161890962,14483,561,3.90
LinkedIn,https://linkedin.com/feed/update/urn:li:ugcPost:7280191605939089408,12856,1473,11.50
LinkedIn,https://linkedin.com/feed/update/urn:li:ugcPost:7283963386562809858,12781,1724,13.50
LinkedIn,https://linkedin.com/feed/update/urn:li:ugcPost:7240064237945987074,12264,1402,11.40
LinkedIn,https://linkedin.com/feed/update/urn:li:ugcPost:7296595742880661507,11373,2934,25.80
LinkedIn,https://linkedin.com/feed/update/urn:li:share:7219724554145800193,11096,908,8.20
LinkedIn,https://linkedin.com/feed/update/urn:li:ugcPost:7341110153833828354,10800,774,7.20
LinkedIn,https://linkedin.com/feed/update/urn:li:share:7411708929560432640,10469,997,9.50
LinkedIn,https://linkedin.com/feed/update/urn:li:share:7283066978192293890,8104,568,7
